file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match
F:\Users\win10secu3\Documents\File\File001,File001,10768,7a6f4e0442b3b4f6f936c00e7fd813d0fda011f10496481d94805003cf4f330b,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File002,File002,556,ed5de336ddc9ff34554219b5c125971399bbbbb71db8a465aa7d17bb8944eb9d,EFBBBF3C230A2E53594E4F505349530A09496E7374616C6C73205A6F6F6D0A2E4445534352495054494F4E0A095468697320,UNKNOWN,
F:\Users\win10secu3\Documents\File\File003,File003,1855,58d04b05a781cbfe76a36ce7a5e275b65972dacd5384b990217d271d090e8e0b,436F7079726967687420286329205B796561725D205B66756C6C6E616D655D0D0A0D0A54686520556E6976657273616C2050,UNKNOWN,
F:\Users\win10secu3\Documents\File\File004,File004,149,621a179e360dde879b74b9be144b8ab6e630e58ea992971f3bca9146c9635c20,406563686F206F66660D0A736574202F61206C696E653D2572616E646F6D252025252035202B20310D0A666F72202F662022,UNKNOWN,
F:\Users\win10secu3\Documents\File\File005,File005,2560,be03d7f716ccb1120fabf644f12d9bea11e0eeeb8b2c64686b842869cd4c50f0,4D5A90000300000004000000FFFF0000B8000000000000004000000000000000000000000000000000000000000000000000,EXE/DLL (PE),pe_mz
F:\Users\win10secu3\Documents\File\File006,File006,4319474,fe5d03498443b9d9b248d83499f26e7c177ca6e41c4394ff010f77aa85344a91,504B03040A000000000000002100FFFFFFFF1102000011020000100000005B74726173685D2F303030302E646174FFFFFFFF,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File007,File007,1013332,593e2bfb37d712aa42b97ca849d23107456dcc69dc61408978c4ae4c5a9806e8,504B030414000600080000002100D4A2463FD9010000EC0900001300D3015B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File008,File008,1617304,1e8804a55aa1931e0382776bad307c5b7401daed687b87bf2dc2ca4a4cd075f5,89504E470D0A1A0A0000000D4C454E5A00000388000004EC0806000000C272AC0C0001000049444154789CECFD799C6DD975,PNG,png
F:\Users\win10secu3\Documents\File\File009,File009,1726586,caa4f0870e1edf0e723db15963b182576d841a4df2202ea7e36a0c19a4a3853f,89504E470D0A1A0A0000000D4948445200000388000004EC0806000000C272AC0C0001000049444154789CECFD5993243992,PNG,png
F:\Users\win10secu3\Documents\File\File010,File010,4155280,3b7abb872967e1db077436f9888bb0039ad4cc0ef0ac066a638a57d4bd26c775,504B0304140006000800000021003CF321F4570200009F1600001300C0015B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File011,File011,12996644,7d0d7911b0d2f8edd31039124f32e2565cd65705d491344e7e51282da201de88,504B03040A000000000000002100FFFFFFFF0F0200000F020000100000005B74726173685D2F303030302E646174FFFFFFFF,ZIP,zip_pk0304
F:\Users\win10secu3\Documents\File\File012,File012,28659,071345a2709641e09bd87d46c65dd868e1000e1429f36051df2c9b479a9e8fd5,504B03041400060008000000210004E86306F70100009B0A0000130008025B436F6E74656E745F54797065735D2E786D6C20,ZIP,zip_pk0304
