file_path,file_name,file_size,sha256,first_50_bytes_hex,detected_type,signature_match,malware_rule_hits,risk_score,verdict
G:\Users\win10secu3\Documents\File\File001,File001,10768,7a6f4e0442b3b4f6f936c00e7fd813d0fda011f10496481d94805003cf4f330b,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File002,File002,556,ed5de336ddc9ff34554219b5c125971399bbbbb71db8a465aa7d17bb8944eb9d,efbbbf3c230a2e53594e4f505349530a09496e7374616c6c73205a6f6f6d0a2e4445534352495054494f4e0a095468697320,PS1,PS1_UTF8_BOM,URL_PROTOCOL,1,CLEAN
G:\Users\win10secu3\Documents\File\File003,File003,1855,58d04b05a781cbfe76a36ce7a5e275b65972dacd5384b990217d271d090e8e0b,436f7079726967687420286329205b796561725d205b66756c6c6e616d655d0d0a0d0a54686520556e6976657273616c2050,TXT,TXT_HEURISTIC,,0,CLEAN
G:\Users\win10secu3\Documents\File\File004,File004,149,621a179e360dde879b74b9be144b8ab6e630e58ea992971f3bca9146c9635c20,406563686f206f66660d0a736574202f61206c696e653d2572616e646f6d252025252035202b20310d0a666f72202f662022,BAT,BAT_ECHO_OFF,,0,CLEAN
G:\Users\win10secu3\Documents\File\File005,File005,2560,be03d7f716ccb1120fabf644f12d9bea11e0eeeb8b2c64686b842869cd4c50f0,4d5a90000300000004000000ffff0000b8000000000000004000000000000000000000000000000000000000000000000000,EXE,PE_MZ_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File006,File006,4319474,fe5d03498443b9d9b248d83499f26e7c177ca6e41c4394ff010f77aa85344a91,504b03040a000000000000002100ffffffff1102000011020000100000005b74726173685d2f303030302e646174ffffffff,ZIP,ZIP_PK_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File007,File007,1013332,593e2bfb37d712aa42b97ca849d23107456dcc69dc61408978c4ae4c5a9806e8,504b030414000600080000002100d4a2463fd9010000ec0900001300d3015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_PK_HEADER,,0,CLEAN
G:\Users\win10secu3\Documents\File\File008,File008,1617304,1e8804a55aa1931e0382776bad307c5b7401daed687b87bf2dc2ca4a4cd075f5,89504e470d0a1a0a0000000d4c454e5a00000388000004ec0806000000c272ac0c0001000049444154789cecfd799c6dd975,PNG,PNG_SIGNATURE,,0,CLEAN
G:\Users\win10secu3\Documents\File\File009,File009,1726586,caa4f0870e1edf0e723db15963b182576d841a4df2202ea7e36a0c19a4a3853f,89504e470d0a1a0a0000000d4948445200000388000004ec0806000000c272ac0c0001000049444154789cecfd5993243992,PNG,PNG_SIGNATURE,,0,CLEAN
G:\Users\win10secu3\Documents\File\File010,File010,4155280,3b7abb872967e1db077436f9888bb0039ad4cc0ef0ac066a638a57d4bd26c775,504b0304140006000800000021003cf321f4570200009f1600001300c0015b436f6e74656e745f54797065735d2e786d6c20,ZIP,ZIP_PK_HEADER,URL_PROTOCOL,1,CLEAN
